Tom's here.	Tom er her.
It's too dangerous.	Det er for farligt!
You're a bookworm.	Du er en bogorm.
They got off at the next bus stop.	De stod af ved det følgende busstoppested.
The baby is sleeping.	Spædbarnet ligger og sover.
Do you speak Japanese?	Taler du japansk?
What does UN stand for?	Hvad står FN for?
Tom grabbed a crowbar to use as a weapon.	Tom greb et koben for at bruge det som våben.
Could you tell me your mobile number please?	Ville du være så venlig at give mig dit mobilnummer?
Beauty such as hers is rare.	Skønhed som hendes er sjælden.
Tom's living proof that you don't have to have brains to be successful.	Tom er et levende bevis på at det ikke er nødvendigt at have forstand for at få succes.
I can't speak French at all.	Jeg kan overhovedet ikke tale fransk.
It wasn't Tom's fault.	Det var ikke Toms skyld.
Can't anything be done?	Kan der ikke gøres noget?
Tom left for school at the break of dawn.	Tom tog af sted til skole ved daggry.
I always stay at home on Sundays.	Jeg bliver altid hjemme om søndagen.
Tom wants to know what's going on.	Tom vil gerne vide hvad der foregår.
Don't tell me you've never been in love.	Fortæl mig ikke at du aldrig har været forelsket.
Don't you want to know what it means?	Ønsker du ikke at få at vide hvad det betyder?
This is a reasonable price.	Det er en rimelig pris.
Tom's unscrupulous.	Tom er hensynsløs.
I am from Egypt.	Jeg er fra Ægypten.
When was the last time you had a really good cry?	Hvornår har du sidst rigtigt kunnet græde ud?
What language do they speak in Korea?	Hvilket sprog taler de i Korea?
I often played soccer when I was young.	Jeg spillede tit fodbold da jeg var ung.
There are cherry trees on both sides of the street.	Der er kirsebærtræer på begge sider af gaden.
I'm speaking from experience.	Jeg taler af erfaring.
It's all over now.	Det hele er overstået nu.
It's bad for the heart.	Det er dårligt for hjertet.
I am getting fat because I eat a lot of sweets.	Jeg bliver tyk fordi jeg spiser meget slik.
This pencil is red.	Denne blyant er rød.
You work harder than anyone here.	Du arbejder hårdere end alle andre her.
This fact proves her innocence.	Denne omstændighed beviser hendes uskyld.
Will you come back tomorrow?	Kommer du tilbage i morgen?
I am going to be a doctor.	Jeg skal være læge.
Answer the question.	Besvar spørgsmålet.
Do you have your passport with you?	Har du dit pas på dig?
Close the window.	Luk vinduet.
My wife loves apple pie.	Min kone elsker æblekage.
Criminals should be punished.	Forbrydere skal straffes.
Tom is an informant for the FBI.	Tom er meddeler for FBI.
My watch is ten minutes slow.	Mit ur er ti minutter bagefter.
You're still young.	Du er stadigvæk ung.
Where can we buy it?	Hvor kan vi købe det?
This caterpillar will become a beautiful butterfly.	Denne larve vil blive til en smuk sommerfugl.
Tom was in a bad mood yesterday.	Tom var i dårligt humør i går.
She died in 1960.	Hun døde i 1960.
Tom woke up early this morning.	Tom vågnede tidligt i morges.
He spent most of the time at his summer home.	Han tilbragte det meste af tiden i sit sommerhus.
What does that mean?	Hvad betyder det?
Picasso was a famous painter.	Picasso var en berømt maler.
What's Tom's last name?	Hvad er Toms efternavn?
It takes courage to do such a thing.	Det kræver mod at gøre sådan noget.
The movie is about a boy named Tom.	Filmen handler om en dreng ved navn Tom.
Unlock the door.	Lås døren op.
The boy made a fool of himself.	Drengen gjorde sig selv til grin.
I was too short to reach the top shelf, so I asked Tom to get the book for me.	Jeg var for kort til at nå den øverste hylde, så jeg bad Tom om at hente bogen til mig.
You always lie to me.	Du lyver altid for mig.
It's raining outside.	Det regner udenfor.
Are you married or are you single?	Er du gift eller er du single?
It rained.	Det regnede.
You got very drunk.	Du blev meget fuld.
I stayed home because of the weather.	Jeg blev hjemme på grund af vejret.
When I was a child, I used to go to the beach every summer.	Som barn tog jeg altid til stranden hver sommer.
Mary is pregnant with twins.	Mary er gravid med tvillinger.
Tom earns more money in an hour than I do in a week.	Tom tjener flere penge på en time end jeg gør på en uge.
Tom is watching TV.	Tom ser TV.
Where are your keys?	Hvor er dine nøgler?
Oranges are a good source of vitamin C.	Appelsiner er en god kilde til vitamin C.
I didn't save the file.	Jeg gemte ikke filen.
I was in the house.	Jeg var i huset.
How many civilians were killed?	Hvor mange civile blev dræbt?
Please let me go with you.	Vær venlig at lade mig komme med.
He got engaged to my cousin.	Han blev forlovet med min kusine.
Will you show me your photo album?	Vil du vise mig dit fotoalbum?
I've never been to Argentina.	Jeg har aldrig været i Argentina.
I love to see you smile.	Jeg elsker at se dig smile.
Tom can't swim as well as Mary.	Tom kan ikke svømme så godt som Mary.
This book is about torture.	Denne bog handler om tortur.
Tom was in the shower.	Tom var under bruseren.
She should be there now because she left an hour ago.	Hun burde være der nu, for hun tog af sted for en time siden.
They were stuck for hours in a traffic jam.	De sad fast i en trafikprop i timevis.
Tom is kind of weird.	Tom er lidt mærkelig.
Have fun while you can.	Mor dig mens du kan.
I can show you the pictures.	Jeg kan vise dig billederne.
I just got kicked out of school.	Jeg er lige blevet smidt ud af skolen.
I shot the horse.	Jeg skød hesten.
Come if you can.	Kom hvis du kan.
Christmas is soon, isn't it?	Det er snart jul, ikke sandt?
How was the beach?	Hvordan var stranden?
Where is your jacket?	Hvor er din jakke?
The sun has just risen.	Solen er lige stået op.
We're all beginners here.	Vi er alle begyndere her.
I love cooking.	Jeg elsker at lave mad.
Her son is a jet pilot.	Hendes søn er jetpilot.
I prefer apples to oranges.	Jeg foretrækker æbler frem for appelsiner.
I beg you to forgive me.	Jeg beder dig tilgive mig.
The girls whispered among themselves.	Pigerne hviskede sammen.
He has even more apples.	Han har endnu flere æbler.
They live in a small house.	De bor i et lille hus.
Tom went grocery shopping on an empty stomach and bought much more than he had intended.	På tom mave tog Tom ud for at købe dagligvarer ind og købte meget mere end han havde tænkt sig.
That's my jacket.	Det er min jakke.
The murderer confessed his crime.	Morderen har tilstået forbrydelsen.
If I'd been able to speak French then, I wouldn't have gotten into trouble.	Hvis jeg dengang havde kunnet tale fransk, var jeg ikke løbet ind i problemer.
Tom is going to need that.	Tom vil få brug for det.
Some women don't shave their legs.	Nogle kvinder barberer ikke deres ben.
I know where Tom works.	Jeg ved hvor Tom arbejder.
I can't imagine living like that.	Jeg kan ikke forestille mig at leve sådan.
You can come in.	Du kan godt komme ind.
Come to my house this afternoon.	Kom hen til mig i eftermiddag.
Tom might be all right.	Tom er muligvis okay.
You're so gallant.	Du er så galant.
Answer the telephone, will you?	Vil du tage telefonen?
Everything went black.	Alt blev sort.
My favorite subject is biology.	Mit yndlingsfag er biologi.
He finally succeeded in getting a job.	Det lykkedes ham langt om længe at få et job.
Tom said he was going to kill Mary.	Tom sagde at han ville dræbe Mary.
You can read French, can't you?	Du kan læse fransk, kan du ikke?
I'd like to have another cup of coffee.	Jeg kunne godt tænke mig en kop kaffe mere.
You should go see a doctor.	Du burde gå til lægen.
Let's go somewhere warm.	Lad os gå et sted hen hvor det er varmt!
Would you like another helping of pie?	Vil du have en portion tærte mere?
I told Tom not to use those.	Jeg bad Tom om ikke at bruge dem der.
I found something I thought I'd lost.	Jeg fandt noget som jeg troede jeg havde tabt.
You can count on her.	Du kan regne med hende.
Nobody is perfect.	Ingen er fuldkommen.
Tom passed out.	Tom besvimede.
Tom put his career on the back burner and became a house husband, to enable Mary to pursue her career.	Tom satte sin karriere på vågeblus og blev hjemmegående for at gøre det muligt for Mary at fortsætte sin karriere.
He was responsible for the car accident.	Han var ansvarlig for bilulykken.
This store closes at nine in the evening.	Den butik lukker klokken ni om aftenen.
What a strong wind!	Sikket blæsevejr!
Tom is bipolar.	Tom har en bipolar lidelse.
They must be worried.	De må være bekymrede.
She's an intelligent young woman.	Hun er en intelligent ung kvinde.
I'm not a monster.	Jeg er ikke et monster.
This wall is cold.	Denne væg er kold.
This room is twelve feet by twenty-four feet.	Dette værelse måler tolv fod gange fireogtyve fod.
Mother is cooking in the kitchen.	Mor laver mad i køkkenet.
I've only read the first part of the book.	Jeg har kun læst den første del af bogen.
Where's the toilet?	Hvor er toilettet?
Tom wrote his name on the blackboard.	Tom skrev sit navn på tavlen.
Tom was killed with a tire iron.	Tom blev dræbt med et dækjern.
Somebody stole my lunch.	Nogen har stjålet min frokost.
He's studying.	Han studerer.
She's giving each child two apples.	Hun giver hvert barn to æbler.
He tried to solve the problem.	Han forsøgte at løse problemet.
Which do you prefer, apples or bananas?	Hvad foretrækker du, æbler eller bananer?
Don't tempt me.	Frist mig ikke.
Do you think I'm stupid?	Tror du jeg er dum?
How much do you want for all this stuff?	Hvor meget skal du have for alle disse ting?
He would still be alive if he had been wearing his seat belt when the car crashed.	Han ville stadig være i live hvis han havde brugt sikkerhedssele da bilen forulykkede.
Is Tom lying?	Lyver Tom?
When I arrived at the station, the train was just about to leave.	Da jeg ankom til stationen, skulle toget lige til at køre.
The barn door was open.	Ladeporten var åben.
What are you saying?	Hvad er det du siger?
Tom missed Mary.	Tom savnede Mary.
We threw it away.	Vi smed det væk.
How many galaxies are there in the universe?	Hvor mange galakser er der i universet?
I'm convinced that my son is innocent.	Jeg er overbevist om at min søn er uskyldig.
They got married on Christmas Eve.	De blev gift juleaften.
Roll up your right sleeve.	Smøg dit højre ærme op.
Monkeys love bananas.	Aber elsker bananer.
Is there a bus that goes to the mall?	Er der en bus der kører til indkøbscentret?
Tom is afraid to tell the truth.	Tom er bange for at sige sandheden.
The car kept swerving from lane to lane.	Bilen skiftede hele tiden vejbane.
I bought this book at Maruzen Bookstore.	Jeg købte denne bog i boghandelen Maruzen.
I have a sweet-tooth.	Jeg har en sød tand.
The sidewalks were wet after the rain.	Fortovene var våde efter regnen.
We'll succeed.	Vi klarer det.
I lack confidence.	Jeg mangler selvtillid.
I'm right here, aren't I?	Jeg har ret her, har jeg ikke?
Happy Easter!	God påske!
Our biking trip in the French Alps lasted two weeks.	Vores cykeltur i de franske alper varede to uger.
He looks strong.	Han ser stærk ud.
My grandfather goes for a walk on fine days.	På dage med fint vejr tager min bedstefar en spadseretur.
The little boy lost a mitten playing in the snow.	Den lille dreng mistede en vante da han legede i sneen.
My friend broke up with his girlfriend and now he wants to go out with me.	Min ven slog op med sin kæreste og nu ønsker han at gå ud med mig.
Did you sew this by hand?	Syede du det i hånden?
I am better.	Jeg er bedre.
You should eat vegetables.	Du bør spise grøntsager.
Tom is a common name.	Tom er et almindeligt navn.
It might sound like I'm complaining, but I'm not.	Det kunne lyde som om jeg klager, men det er ikke tilfældet.
Let's buy this one.	Lad os købe den her.
Tom has been in Boston for a week.	Tom har været i Boston i en uge.
Tom said doing that would be a good idea.	Tom sagde at det ville være en god ide at gøre det.
Yokohama is a beautiful port town.	Yokohama er en smuk havneby.
There is an orange on the table.	Der er en appelsin på bordet.
Although I was tired, I did my best.	Selvom jeg var træt, gjorde jeg mit bedste.
I will make a new suit for you.	Jeg vil lave et nyt sæt tøj til dig.
Don't forget your ticket.	Glem ikke din billet!
Bring me today's paper, please.	Bring mig venligst avisen for i dag.
You've ruined everything.	Du har ødelagt alt.
Tom said that he didn't do it.	Tom sagde at han ikke gjorde det.
What happened to Tom?	Hvad er der overgået Tom?
Tom has three cats.	Tom har tre katte.
I used to be a waiter.	Jeg har førhen været tjener.
I'm going to be a doctor.	Jeg skal være læge.
Tom has a black dog.	Tom har en sort hund.
Has Tom found his keys yet?	Har Tom fundet sine nøgler?
I feel guilty.	Jeg føler mig skyldig.
This is an ice cube.	Dette er en isterning.
Tom got arrested.	Tom blev arresteret.
Tom should have discussed the matter with me.	Tom skulle have drøftet sagen med mig.
Do you have hot towels?	Har I varme håndklæder?
My birthday's not for another month.	Jeg har først fødselsdag om en måned.
Tom gently closed the door.	Tom lukkede døren forsigtigt.
Cotton mittens will prevent the baby from scratching his own face.	Bomuldsvanter vil forhindre babyen i at kradse sig i ansigtet.
I love Christmas music.	Jeg elsker julemusik.
Yes, I kissed him.	Ja, jeg kyssede ham.
I don't drink much beer.	Jeg drikker ikke meget øl.
I had to stay in bed all day.	Jeg måtte blive i sengen hele dagen.
Both cars involved in the accident were completely totaled.	Begge biler involveret i ulykken blev fuldstændig totalskadet.
Tom found a half-eaten apple behind the toaster.	Tom fandt et halvspist æble bag brødristeren.
Tom is out of danger.	Tom er udenfor fare.
She was intelligent as well as beautiful.	Hun var både klog og smuk.
This is a waterproof watch.	Dette er et vandtæt ur.
She looked for her children, but couldn't find them anywhere.	Hun ledte efter sine børn, men de var ingen steder at finde.
Tom must've told us the truth.	Tom må have fortalt os sandheden.
Tom doesn't have to come here tomorrow.	Tom behøver ikke at komme her i morgen.
Tom asked Mary to quit smoking.	Tom bad Mary om at holde op med at ryge.
The sidewalk is slippery.	Fortovet er glat.
If I were you, I would paint it blue.	Hvis jeg var dig, ville jeg male det blåt.
I am a student, but he isn't.	Jeg er studerende, men det er han ikke.
Can you count in French?	Kan du tælle på fransk?
Tom stole your bike.	Tom stjal din cykel.
Tom agreed to meet Mary in front of the laundromat.	Tom aftalte at mødes med Mary foran møntvaskeriet.
I'm not old.	Jeg er ikke gammel.
Keep it in a cool place.	Bevar den på et koldt sted.
The swimmers were numb with cold.	Svømmerne var følelsesløse af kulde.
We're Canadians.	Vi er canadiere.
I don't understand music.	Jeg forstår ikke musik.
Have you ever ridden a horse?	Har du nogensinde redet på en hest?
She asked him out on a date, but he said no since he thought girls should not ask boys out.	Hun inviterede ham ud på en date, men han sagde nej da han mente at piger ikke burde invitere drenge ud.
The result of the election will be announced tomorrow.	Resultatet af valget vil blive offentliggjort i morgen.
It's too expensive.	Det er for dyrt.
There were quite a few rotten apples in the basket.	Der var en hel del rådne æbler i kurven.
Leave it.	Lad det være.
The top is turning clockwise.	Snurretoppen drejer med uret.
Tom handed the empty pizza box to Mary.	Tom rakte Mary den tomme pizzaæske.
Tom is probably the oldest person in the office.	Tom er sandsynligvis den ældste på kontoret.
I heard it on the radio.	Jeg hørte det i radioen.
How did that happen?	Hvordan gik det til?
Tom won't admit it, but he's secretly in love with Mary.	Tom vil ikke indrømme det, men han er hemmelig forelsket i Mary.
Tom and Mary had a shotgun wedding.	Tom og Mary blev gift i hast.
Hello, is this the personnel department?	Hallo! Er det personaleafdelingen?
His house is very far from the station.	Hans hus er meget langt fra stationen.
It was never hard for us to find something to talk about.	Det var aldrig vanskeligt for os at finde noget at snakke om.
Don't forget your passport.	Glem ikke dit pas.
Japan is to the east of China.	Japan ligger øst for Kina.
The bus was behind schedule.	Bussen var forsinket.
I'm thirty years old.	Jeg er 30 år gammel.
It's not my business.	Det er ikke min sag.
I'd like to be a millionaire.	Jeg vil gerne være millionær.
I have a suggestion.	Jeg har et forslag.
He is still alive.	Han lever endnu.
Yesterday at this time, we were at the movie theater.	I går ved denne tid var vi i biografen.
This method is slow but sure.	Denne metode er langsom men sikker.
He was condemned to death.	Han blev dømt til døden.
You're an attractive girl.	Du er en tiltrækkende pige.
You're a murderer.	Du er en morder.
Let's have a ten-minute break.	Lad os tage ti minutters pause.
Tom speaks French as well as me.	Tom taler lige så godt fransk som jeg.
Tom is obviously in love with Mary.	Tom er tydeligvis forelsket i Mary.
I love rock.	Jeg elsker rock.
You're barking up the wrong tree.	Du er galt på den.
I'd like you to translate this document into French.	Jeg vil gerne have dig til at oversætte dette dokument til fransk.
Within a few minutes, Tom had eaten up all the food on the table.	Inden for få minutter havde Tom spist al maden på bordet.
What's your wish?	Hvad er dit ønske?
My younger brother is watching TV.	Min lillebror ser tv.
Red wine, please.	Jeg vil gerne have rødvin.
Did Tom tell Mary how many apples to buy?	Fortalte Tom Mary hvor mange æbler hun skulle købe?
Tom didn't laugh.	Tom lo ikke.
I saw what you did.	Jeg så hvad du gjorde.
How do you pronounce that?	Hvordan udtaler man det?
This catterpillar will turn into a beautiful butterfly.	Denne larve vil blive til en smuk sommerfugl.
Tom is very short.	Tom er meget kort.
How old is your wife?	Hvor gammel er din kone?
Tom told me that he hadn't seen Mary all day.	Tom fortalte mig at han ikke havde set Mary hele dagen.
I made an apple pie for you.	Jeg har lavet en æblekage til dig.
Christmas is soon.	Snart er det jul.
I found this under your bed.	Jeg har fundet det her under din seng.
There's nothing worth watching on TV today.	Der er intet der er værd at se på TV i dag.
The light has turned green.	Lyset er blevet grønt.
It's snowing.	Det sner.
Stop biting your nails.	Hold op med at bide dine negle.
Everybody knows that Tom was the one who broke the window.	Alle ved at det var Tom der smadrede vinduet.
I do not read books.	Jeg læser ikke bøger.
We want to hear everything.	Vi vil høre det hele.
Can you really not swim?	Kan du virkelig ikke svømme?
Can I kiss you?	Må jeg kysse dig?
She is thirty-one.	Hun er 31 år.
Give me your telephone number.	Giv mig dit telefonnummer.
I must replace that fluorescent lamp.	Jeg er nødt til at udskifte det lysstofrør.
It's not important.	Det er lige meget.
Bananas are yellow.	Bananer er gule.
Where do you plan to go on vacation next summer?	Hvor vil du holde ferie til næste sommer?
I have a surprise for you, sweetheart.	Jeg har en overraskelse til dig, skat.
My client is willing to make a deal.	Min klient er villig til at indgå en aftale.
I need a new USB cable.	Jeg har brug for et nyt usb-kabel.
My pulse is fast.	Min puls er høj.
Tom is a student.	Tom er studerende.
Tom is writing a book.	Tom skriver en bog.
He gave me a big hug.	Han gav mig et stort knus.
Tom hopes to see you in October.	Tom håber at se dig til oktober.
It's Tom you should be angry with.	Det er Tom du skal være sur på.
He went abroad to study English.	Han tog til udlandet for at lære engelsk.
I see a lion.	Jeg ser en løve.
You'll regret this.	Det kommer du til at fortryde!
Tom told Mary his age.	Tom fortalte Mary hvor gammel han var.
He often comes late to school.	Han kommer tit for sent til skole.
I thought you'd left.	Jeg troede at du var gået.
They're a couple.	De er et par.
He was welcomed everywhere.	Han var velkommen alle steder.
The population of this city has decreased.	Befolkningstallet i denne by er faldet.
Always tell the truth.	Fortæl altid sandheden.
Tell Tom I'm fine.	Fortæl Tom at jeg har det fint.
The library is to the right.	Biblioteket ligger til højre.
Mary is expecting a girl.	Mary venter en pige.
Take a few days off.	Tag et par dage fri.
Have you lost your mind?	Har du mistet forstanden?
I have lots of time.	Jeg har masser af tid.
Is there any likelihood of his coming?	Er der nogen mulighed for at han kommer?
The club has more than fifty members.	Klubben har flere end 50 medlemmer.
We watched a baseball game on television.	Vi så en baseball-kamp på TV.
The negotiations are in full swing.	Forhandlingerne er i fuld gang.
Where did you get your degree?	Hvor tog du din universitetseksamen?
Tom is Mary's nephew.	Tom er Marys nevø.
Apes are intelligent.	Menneskeaber er intelligente.
Show me what you have in your left hand.	Vis mig hvad du har i din venstre hånd.
Tom is hiding under the bed, isn't he?	Tom gemmer sig under sengen, gør han ikke?
Monkeys are intelligent.	Aber er intelligente.
Is anybody here?	Er der nogen her?
She took my hand.	Hun tog min hånd.
Tell me about it!	Fortæl mig om det!
Tom promised to be here by 2:30.	Tom lovede at være her senest 2:30.
When will you come?	Hvornår kommer du?
I speak French.	Jeg taler fransk.
Yesterday I was caught in a shower on my way home.	I går blev jeg fanget af et regnskyl på vej hjem.
I've heard of you.	Jeg har hørt om dig.
By the way, how many of you keep a diary?	Forresten, hvor mange af jer skriver dagbog?
Choose one.	Vælg en.
I slept on the boat.	Jeg sov på båden.
Behave yourself during my absence.	Opfør dig ordentligt, mens jeg er væk.
Tom accidentally ate some rat poison.	Tom spiste rottegift ved et uheld.
Don't lean against this wall.	Læn dig ikke mod denne mur!
The customer isn't always right.	Kunden har ikke altid ret.
Mind your own business!	Bland dig udenom!
Did he say anything about it to you?	Sagde han noget om det til dig?
I'm handling this.	Jeg klarer dette.
These earphones don't work.	De her hovedtelefoner virker ikke.
He hates air travel.	Han hader flyrejser.
Tom and Mary both went to the same school.	Tom og Mary gik begge på den samme skole.
I wouldn't have said it that way.	Jeg ville ikke have sagt det på den måde.
I live in this house by myself.	Jeg bor alene i dette hus.
I have back problems.	Jeg har rygproblemer.
One cannot survive without money.	Uden penge kan man ikke overleve.
Tom is studying French.	Tom lærer fransk.
From now on, be more careful with your money.	Vær mere forsigtig med dine penge fremover!
Tom is his name, I think.	Jeg tror han hedder Tom.
It's not important.	Det er ikke vigtigt.
What did you do with my glasses?	Hvad har du gjort ved mine briller?
It's snowing in Boston.	Det sner i Boston.
Someone has left a bag on the bench.	Nogen har efterladt en sæk på bænken.
I just want to say hello.	Jeg vil bare sige hej.
Can I use this dictionary?	Kan jeg bruge denne ordbog?
I forgot his name.	Jeg glemte hans navn.
I doubt it.	Det tvivler jeg på.
She sorted the files in alphabetical order.	Hun sorterede filerne i alfabetisk orden.
Tom is out to get me, isn't he?	Tom vil have mig ned med nakken, ikke sandt?
When I entered the room, I could hear Mozart playing on the radio.	Da jeg trådte ind i værelset, kunne jeg høre Mozart blive spillet på radioen.
Where's the washroom?	Hvor er toilettet?
Tom parked his car in front of Mary's house.	Tom parkerede sin bil foran Marys hus.
I am sorry.	Jeg er ked af det.
Tom asked me how much money I had with me.	Tom spurgte mig om hvor mange penge jeg havde på mig.
If you translate from your second language into your own native language, rather than the other way around, you're less likely to make mistakes.	Hvis man oversætter fra sit andetsprog til sit modersmål, i stedet for omvendt, er der mindre sandsynlighed for at man laver fejl.
Tom is Mary's brother.	Tom er Marys bror.
Where is your school?	Hvor er jeres skole?
Is it still for sale?	Er det stadig til salg?
Thank you.	Mange tak.
I want to make sure we have enough water.	Jeg vil sikre mig at vi har nok vand.
I used to go to church on Sunday.	Jeg gik i kirke om søndagen.
I had one beer and pretended to be very drunk.	Jeg havde drukket en øl og foregav at være meget fuld.
Everything went wrong.	Alt gik galt.
Even if I had wished to stop, I couldn't.	Selv hvis jeg havde ønsket at holde op så kunne jeg ikke.
I compared my car with his.	Jeg sammenlignede min bil med hans.
We celebrated our tenth wedding anniversary yesterday.	Vi fejrede vores 10 års bryllupsdag i går.
The summer vacation is over.	Sommerferien er ovre.
My mother is beautiful.	Min mor er smuk.
I do hope you're right.	Jeg håber virkelig, du har ret.
I will tell the woman what I know.	Jeg vil fortælle damen hvad jeg ved.
Tom must be from Australia.	Tom må være fra Australien.
They got married.	De blev gift.
He is two inches taller than I am.	Han er fem centimeter højere end mig.
Tom is absent.	Tom er fraværende.
Have a nice day, Tom.	Farvel, Tom!
He bought a dozen eggs.	Han købte et dusin æg.
It's not easy writing a love letter in English.	Det er ikke let at skrive et kærestebrev på engelsk.
Don't you have a pen?	Har du ikke en pen?
Tom ate the apple that Mary had left on the dining room table.	Tom spiste æblet som Mary havde efterladt på spisebordet.
I wonder what Tom actually thinks.	Jeg spekulerer på hvad Tom egentlig mener.
Tom writes everything down so he won't forget it.	Tom skriver alt ned for ikke at glemme det.
It's been a week since I've seen Tom.	Det er en uge siden jeg sidst så Tom.
Calm down.	Slap af!
She can't write or read.	Hun kan hverken skrive eller læse.
Who's older, your mother or your father?	Hvem er ældst, din mor eller din far?
Those who live in glass houses should not throw stones.	De, som bor i glashuse, burde ikke kaste med sten.
There are some things that I don't understand.	Der er nogle ting som jeg ikke forstår.
Tom's French is almost perfect.	Toms fransk er næsten perfekt.
Tom was on the balcony, looking at the sunset.	Tom var ude på altanen og kiggede på solnedgangen.
Here's the money I owe you.	Her er de penge jeg skylder dig.
He sat there with his legs crossed.	Han sad der med benene over kors.
We did the best we could.	Vi har gjort vort bedste.
I didn't think this would happen.	Jeg troede ikke at dette ville ske.
Tom drowned in his bathtub.	Tom druknede i sit badekar.
You don't have to do that now.	Du behøver ikke at gøre det nu.
The mistake cost him his head.	Fejlen kostede ham hovedet.
My friend only eats organic food.	Min ven spiser kun økologiske fødevarer.
If he had not died so young, he would have become a great scientist.	Hvis ikke han var afgået ved døden så tidlig, ville han være blevet en stor videnskabsmand.
That made me mad.	Det gjorde mig gal.
I go to school on foot.	Jeg går til skolen til fods.
Am I responsible for this?	Er jeg ansvarlig for dette?
The apple trees blossomed early this year.	Æbletræerne blomstrede tidligt i år.
Did anybody get hurt?	Kom nogen til skade?
Tom's room isn't very big.	Toms værelse er ikke ret stort.
Tom speaks French as well as you.	Tom taler fransk lige så godt som dig.
Tom waited impatiently.	Tom ventede utålmodigt.
Can anyone fix a flat tire?	Er der nogen der kan lappe et fladt dæk?
Tom must've had a reason.	Tom havde vel en grund.
I don't have chains for my car.	Jeg har ikke snekæder til min bil.
How much did Tom tell you?	Hvor meget fortalte Tom dig?
I'm keeping my mouth shut.	Jeg holder min mund lukket.
I have a guitar.	Jeg har en guitar.
Earth, Mars and Jupiter are planets.	Jorden, Mars og Jupiter er planeter.
Tom is watering his garden.	Tom vander sin have.
What is it now?	Hvad er der nu?
His story turned out to be true.	Hans historie viste sig at være sand.
Australia is the world's fifth-largest coal producer.	Australien er verdens femtestørste kulproducent.
Tom is a lot busier this week than he was last week.	Tom har meget mere travlt i denne uge, end han havde i sidste uge.
It's raining cats and dogs.	Det regner skomagerdrenge.
Why is it so difficult to master French?	Hvorfor er det så svært at beherske det franske sprog?
Would you lend me your bicycle?	Vil du låne mig din cykel?
He was not invited.	Man inviterede ham ikke.
I never touch beer.	Jeg rører aldrig øl.
She speaks English fluently.	Hun taler flydende engelsk.
I don't like learning irregular verbs.	Jeg kan ikke lide at lære uregelmæssige udsagnsord.
That's a direct order.	Det er en direkte ordre.
Tom's prediction was correct.	Toms forudsigelse var korrekt.
I drank the coffee.	Jeg drak kaffen.
When you watch television or listen to the radio, the music which you hear is often African in origin.	Når man ser fjernsyn eller hører radio, så er den musik man hører, ofte af afrikansk oprindelse.
I couldn't catch the train.	Jeg nåede ikke toget.
He is a bus driver.	Han er buschauffør.
I sent it to you two days ago.	Jeg sendte det til dig for to dage siden.
